𒚐	A~1
𒱹	URUDU@g~b~1
𒱺	URUDU@g~c~1
𒱻	URUDU@g~d~1
𒱼	UŠ~a~1
󳃲	UŠ~a~2
𒱽	|UŠ~a&UŠ~a|~1
𒱾	UŠ~b~1
𒲁	UŠ~b~2
𒲂	|UŠ~b×TAR~c|~1
𒱿	|UŠ~b×TAR~c|~2
󲺕	|UŠ~b×TAR~d|~1
𒲀	|UŠ~b&UŠ~b|~1
󲫣	UŠUR₃~a~1
𒲄	UŠUR₃~b1~1
󲫣	UŠUR₃~b1~2
𒲅	UŠUR₃~b2~1
𒲆	UTUA~a~1
𒲇	UTUA~a@t~1
𒲈	UTUA~b~1
𒲉	UTUA~b~2
𒲊	UTUL~a~1
𒲋	UTUL~b~1
𒲌	UTUL~c~1
𒲍	UTUL~d~1
𒲎	UZ~a~1
󳃮	UZ~a~2
𒲏	UZU~1
󰄑.󳂉	X₂~1
𒲐	ZA~v~1
󲫲	ZADIM~1
𒲓	ZAG~a~1
𒲔	ZAG~a~2
𒲕	ZAG~b~1
𒲖	ZAG~c~1
𒲗	ZAR~a~1
𒲘	ZAR~b1~1
𒲙	ZAR~b2~1
𒲚	ZAR~c~1
𒲛	ZATU620~1
𒲜	ZATU621~a~1
𒲝	ZATU621~b~1
𒲞	ZATU621~c~1
𒲟	ZATU621~d~1
𒲠	ZATU622~1
𒲣	ZATU623~1
𒲢	ZATU623~2
𒲡	ZATU623~3
𒲤	ZATU624~a~1
𒲥	ZATU624~b~1
𒲦	ZATU624~c~1
𒲧	ZATU625~1
𒲨	ZATU625~2
𒲩	ZATU626~a~1
𒲪	ZATU626~b~1
𒲫	ZATU626~c~1
𒲬	ZATU627~1
𒲭	ZATU628~a~1
𒲮	ZATU628~a~2
𒲯	ZATU628~b~1
𒲰	ZATU629~1
𒲱	ZATU629~2
𒲲	ZATU630~1
𒲳	ZATU631~1
𒲴	ZATU632~a~1
𒲵	ZATU632~a~2
𒲶	ZATU632~b~1
𒲷	ZATU632~c~1
𒲸	ZATU633~a~1
𒲹	ZATU633~b~1
𒲺	ZATU634~1
𒲻	ZATU635~1
𒲼	ZATU636~1
𒲽	ZATU636~2
𒲾	ZATU637~1
𒲿	ZATU639~1
𒳀	ZATU640~1
𒳁	ZATU641~1
𒳂	ZATU642~1
𒳃	ZATU643~1
𒳄	ZATU644~a~1
𒳅	|ZATU644~a×1(N14)|~1
𒳆	ZATU644~b~1
𒳇	ZATU646~1
𒳈	ZATU647~1
𒳉	ZATU647~2
𒳊	ZATU648~1
𒳋	ZATU649~1
𒳌	ZATU649~2
𒳍	ZATU650~1
𒳘	ZATU651~1
𒳗	ZATU651~2
𒳎	ZATU651~3
𒳏	|ZATU651×AN|~1
𒳐	|ZATU651×EN~a|~1
𒳑	|ZATU651×GAR|~1
𒳒	|ZATU651×MA|~1
𒳓	|ZATU651×NUN~a|~1
𒳙	|ZATU651×ŠE~a|~1
𒳔	|ZATU651×X|~1
𒳕	|ZATU651×ZAR~c|~1
𒳖	ZATU651@g~1
𒳚	ZATU659~1
𒳛	|ZATU659×1(N01)|~1
𒳜	|ZATU659×1(N14)|~1
𒳝	|ZATU659×1(N58@t)|~1
󳃽	ZATU659@t~1
𒳤	ZATU662~1
𒳠	ZATU662~2
𒳞	ZATU662~3
𒳢	ZATU662~4
𒳡	|ZATU662×1(N14)|~1
𒳟	|ZATU662×1(N14)|~2
𒳣	|ZATU662×1(N14)|~3
𒳥	ZATU664~1
𒳦	ZATU665~1
𒳧	ZATU666~1
𒳨	ZATU667~1
𒳩	ZATU668~1
𒳪	ZATU669~1
𒳫	ZATU670~1
𒳬	ZATU672~1
𒳭	ZATU674~1
𒳮	ZATU675~a~1
𒳯	ZATU675~b~1
𒳰	ZATU675~b~2
𒳱	ZATU675~c~1
𒳲	ZATU675~d~1
𒳳	ZATU676~a~1
𒳴	ZATU676~b~1
𒳵	ZATU677~a~1
𒳶	ZATU677~b~1
𒳷	ZATU678~1
𒳸	ZATU679~1
𒳹	ZATU680~a1~1
𒳺	ZATU680~a2~1
𒳻	ZATU680~b~1
𒳼	ZATU680~b~2
𒳽	ZATU680~d~1
𒳾	ZATU680~e~1
𒳿	ZATU681~1
𒴀	ZATU682~1
𒴁	ZATU683~a~1
𒴂	ZATU683~b~1
𒴃	ZATU683@t~1
𒴄	ZATU684~1
𒴅	ZATU685~1
𒴆	ZATU686~a~1
𒴇	ZATU686~b~1
𒴈	ZATU686~c~1
𒴉	ZATU687~1
𒴊	ZATU688~a~1
𒴋	ZATU688~b~1
𒴌	ZATU689~1
𒴍	ZATU690~1
𒴎	ZATU691~1
𒴏	ZATU692~1
𒴐	ZATU693~1
𒴒	ZATU693~2
𒴓	ZATU693~3
𒴑	ZATU693@t~1
󳀠	ZATU693@t~2
𒴔	ZATU694~a~1
𒴕	ZATU694~b~1
𒴖	ZATU694~c~1
𒴗	ZATU694~c~2
𒴘	ZATU694~d~1
𒴙	ZATU694~d@t~1
󳁐	ZATU694~e~1
𒴚	ZATU695~1
𒴛	ZATU696~1
𒴜	ZATU697~a~1
𒴝	ZATU697~a~2
𒴞	ZATU697~a~3
𒴟	ZATU697~a~4
󳃣	ZATU697~a~5
𒴠	ZATU697~b~1
𒴡	ZATU697~c~1
𒴢	ZATU699~a~1
𒴣	ZATU699~b~1
𒴤	ZATU700~1
𒴥	ZATU701~1
𒴦	ZATU702~1
𒴧	ZATU703~1
𒴨	ZATU704~1
𒴩	ZATU705~1
𒴪	ZATU706~1
𒴫	ZATU707~a~1
𒴬	ZATU707~b~1
𒴭	ZATU708~1
𒴮	ZATU709~1
𒴯	ZATU710~1
𒴰	ZATU710~2
󳂨	ZATU710~3
𒴲	ZATU711~1
𒴱	ZATU711~2
𒴳	|ZATU711×HI@g~a|~1
𒴴	|ZATU711×X|~1
𒴵	ZATU713~1
𒴶	ZATU714~1
𒴸	|ZATU714×HI@g~a|~1
𒴹	|ZATU714×X|~1
𒴺	ZATU717~1
𒴻	ZATU718~1
𒴼	ZATU719~1
𒴽	ZATU720~1
𒴾	ZATU721~1
𒴿	ZATU722~1
𒵀	ZATU723~1
𒵁	ZATU724~1
𒵂	ZATU725~1
𒵃	ZATU725~2
𒵄	ZATU726~a~1
󳃯	ZATU726~a~2
𒵅	ZATU726~c~1
𒵆	ZATU726~d~1
𒵇	ZATU727~1
𒵈	ZATU728~1
𒵉	ZATU729~1
𒵊	ZATU729~2
𒵋	ZATU730~1
𒵌	ZATU732~1
󳃤	ZATU732~2
𒵍	ZATU733~1
𒵎	ZATU734~1
𒵏	ZATU735~a~1
𒵑	ZATU735~b~1
𒵒	ZATU735~b~2
𒵐	ZATU735~b~3
𒵓	ZATU735~c~1
𒵔	ZATU736~a~1
𒵕	ZATU736~b~1
𒵖	ZATU737~1
𒵤	ZATU737~2
𒵧	ZATU737~3
𒵗	|ZATU737×AB~a|~1
𒵘	|ZATU737×BU~a|~1
𒵙	|ZATU737×BUR~a|~1
󳂲	|ZATU737×BUR~a|~2
𒵚	|ZATU737×DI|~1
𒵨	|ZATU737×DI|~2
𒵛	|ZATU737×E~a|~1
𒵜	|ZATU737×EN~a|~1
𒵥	|ZATU737×EN~b|~1
𒵝	|ZATU737×GAR|~1
𒵦	|ZATU737×GAR|~2
󳃑	|ZATU737×GAR|~3
󳀋	|ZATU737×I|~1
𒵞	|ZATU737×NI~a@g|~1
󳃓	|ZATU737×NI~a@g|~2
𒵟	|ZATU737×NIMGIR|~1
𒵪	|ZATU737×SAL|~1
𒵠	|ZATU737×SU~a|~1
𒵡	|ZATU737×ŠE~a|~1
𒵢	|ZATU737×ŠITA~a1|~1
󲺺	|ZATU737×ŠITA~b1@g|~1
𒵫	|ZATU737×U₄|~1
𒵣	|ZATU737×UNUG~a|~1
𒵩	|ZATU737×X|~1
󳀊	|ZATU737@t×PAP~a|~1
𒵬	ZATU749~a~1
𒵭	ZATU749~a~2
𒵮	ZATU749~a~3
𒵯	ZATU749~b~1
𒵰	ZATU749~c~1
𒵱	ZATU750~1
𒵲	ZATU750~2
𒵳	ZATU750~3
𒵴	ZATU750~4
󳂩	ZATU750~5
󳃥	ZATU750~6
𒵵	ZATU751~a~1
𒵶	ZATU751~b~1
󳃕	ZATU751~b~2
󳀏	ZATU751~c~1
𒵷	ZATU752~1
𒵸	ZATU752~2
𒵹	ZATU753~1
𒵺	ZATU754~1
𒵻	ZATU755~a~1
𒵼	ZATU755~b~1
𒵽	ZATU756~1
𒵾	ZATU756~2
𒵿	ZATU757~1
𒶀	ZATU757~2
󳃺	ZATU757~3
𒶁	ZATU758~1
𒶈	ZATU759~1
𒶂	ZATU759~2
𒶃	|ZATU759×KU₆~a|~1
𒶄	|ZATU759×(KU₆~a+KU₆~a)|~1
𒶅	|ZATU759×KU₆~d|~1
𒶆	|ZATU759×X|~1
𒶇	|ZATU759@t×X|~1
𒶉	ZATU761~1
𒶍	ZATU762~a~1
𒶌	ZATU762~a~2
𒶊	ZATU762~a~3
𒶋	|ZATU762~a×NIM~a|~1
𒶎	ZATU762~b~1
𒶏	|ZATU762~b×AB~a|~1
𒶐	ZATU764~1
𒶑	ZATU765~1
𒶒	ZATU766~1
𒶓	ZATU767~1
𒶔	ZATU768~1
𒶕	ZATU769~1
𒶖	ZATU771~1
𒶗	ZATU772~1
𒶘	ZATU773~a~1
𒶙	ZATU773~a~2
𒶚	ZATU773~b~1
󳃦	ZATU773~b~2
𒶛	ZATU774~1
𒶜	ZATU775~1
𒶞	ZATU776~1
𒶝	ZATU776~2
󳂬	ZATU776~3
𒶟	ZATU777~1
𒶠	ZATU777~2
𒶡	ZATU777~3
𒶢	ZATU778~1
𒶣	ZATU779~1
𒶤	ZATU780~1
𒶥	ZATU781~1
𒶦	ZATU782~1
𒶧	ZATU783~1
𒶨	ZATU784~1
𒶩	ZATU785~1
𒶪	ZATU786~1
𒶫	ZATU787~1
𒶬	ZATU788~1
𒶭	ZATU789~1
𒶮	ZATU791~1
𒶯	ZATU792~1
𒶰	ZATU795~1
𒶱	ZATU797~1
𒶲	ZATU798~1
𒶳	ZATU799~1
𒶴	ZATU800~1
𒶵	ZATU801~1
𒶶	ZATU802~1
󳁑	ZATU802~b~1
𒶷	ZATU803~1
𒶸	ZATU804~1
𒶹	ZATU805~1
𒶺	ZATU806~1
𒶻	ZATU807~1
𒶼	ZATU808~1
𒶽	ZATU809~1
𒶾	ZATU810~1
𒶿	ZATU811~1
𒷀	ZATU812~1
𒷁	ZATU813~1
𒷂	ZATU814~1
𒷃	ZATU815~1
𒷄	ZATU817~1
𒷅	ZATU818~1
𒷆	ZATU819~1
𒷇	ZATU820~1
𒷈	ZATU821~1
𒷉	ZATU822~1
𒷊	ZATU823~1
𒷋	ZATU824~1
𒷌	ZATU825~1
𒷍	ZATU826~1
𒷎	ZATU829~1
𒷏	ZATU831~1
𒷐	ZATU831@g~1
𒷑	ZATU832~1
𒷒	ZATU833~1
𒷓	ZATU834~1
𒷔	ZATU835~1
𒷕	ZATU836~1
𒷖	ZATU837~a~1
𒷗	ZATU837~b~1
𒷘	ZATU838~1
𒷙	ZATU839~1
𒷚	ZATU839~2
𒷛	ZATU840~1
𒷜	ZATU841~1
𒷝	ZATU842~1
𒷞	ZATU843~1
𒷟	ZATU844~1
𒷠	ZATU845~1
𒷡	ZATU846~1
𒷢	ZATU847~1
𒷣	ZATU848~1
𒷤	ZATU849~1
𒷥	ZATU850~1
𒷦	ZATU851~1
󳀢	ZATU851~2
𒷧	ZATU852~1
𒷨	ZATU853~1
𒷩	ZATU854~1
𒷪	ZATU855~1
󳀡	ZATU856~1
󳀤	ZATU857~1
󳀥	ZATU858~1
󳁒	ZATU859~1
𒷫	ZI~a~1
𒷬	ZI~a~2
𒷭	ZI~b~1
𒷮	ZI~d~1
𒷯	ZUBI~a~1
𒷰	ZUBI~b~1
󳃖	ZUBI~b~2
󰃰	2(LAGAB~a)~1
󰃱	3(LAGAB~a)~1
󰃲	4(LAGAB~a)~1
󳄀	5(LAGAB~a)~1
󰃳	6(LAGAB~a)~1
𒕐	1(N01)~1
𒕑	2(N01)~1
󰁟	2(N01)~2
𒕒	3(N01)~1
󰁠	3(N01)~2
𒕓	4(N01)~1
𒕔	5(N01)~1
󰁡	5(N01)~2
𒕕	6(N01)~1
󰁢	6(N01)~2
𒕖	7(N01)~1
󰁣	7(N01)~2
𒕗	8(N01)~1
󰁤	8(N01)~2
𒕘	9(N01)~1
󰁥	9(N01)~2
󰃚	10(N01)~1
𒙌	1(N01@f)~1
𒙍	2(N01@f)~1
󰁦	2(N01@f)~2
𒙎	3(N01@f)~1
󰁧	3(N01@f)~2
𒙏	4(N01@f)~1
𒙐	5(N01@f)~1
󰁨	5(N01@f)~2
𒙑	6(N01@f)~1
󰁩	6(N01@f)~2
𒙒	7(N01@f)~1
󰁪	7(N01@f)~2
𒙓	8(N01@f)~1
󰁫	8(N01@f)~2
𒙔	9(N01@f)~1
󰁬	9(N01@f)~2
𒖉	1(N01@r)~1
𒖾	1(N02)~1
𒖿	2(N02)~1
󰁭	2(N02)~2
𒗀	3(N02)~1
󰁮	3(N02)~2
𒗁	4(N02)~1
𒗂	5(N02)~1
󰁯	5(N02)~2
𒗃	6(N02)~1
󰁰	6(N02)~2
𒗄	7(N02)~1
󰁱	7(N02)~2
𒗅	8(N02)~1
󰁲	8(N02)~2
𒗆	9(N02)~1
󰁳	9(N02)~2
𒗯	1(N03)~1
𒗰	2(N03)~1
󰁴	2(N03)~2
𒗱	3(N03)~1
󰁵	3(N03)~2
𒗲	4(N03)~1
𒗳	5(N03)~1
󰁶	5(N03)~2
𒘆	1(N04)~1
𒘇	2(N04)~1
󰁷	2(N04)~2
𒘈	3(N04)~1
󰁸	3(N04)~2
𒘉	4(N04)~1
𒘊	5(N04)~1
󰁹	5(N04)~2
𒙶	1(N04@f)~1
𒙷	2(N04@f)~1
󰁺	2(N04@f)~2
𒙸	3(N04@f)~1
𒙹	4(N04@f)~1
𒙺	5(N04@f)~1
󰁻	5(N04@f)~2
𒘱	1(N05)~1
𒘲	2(N05)~1
󰁼	2(N05)~2
𒘳	3(N05)~1
󰁽	3(N05)~2
𒘴	4(N05)~1
𒘵	5(N05)~1
󰁾	5(N05)~2
𒗑	1(N06)~1
𒗒	2(N06)~1
𒗓	3(N06)~1
𒗔	4(N06)~1
𒗕	5(N06)~1
𒗖	6(N06)~1
𒗗	7(N06)~1
𒗘	8(N06)~1
𒗙	9(N06)~1
𒙆	1(N07A)~1
𒙇	2(N07A)~1
𒙈	3(N07A)~1
𒙉	1(N07B)~1
𒙊	2(N07B)~1
𒙋	3(N07B)~1
𒕙	1(N08)~1
𒕚	2(N08)~1
𒕛	3(N08)~1
𒕜	4(N08)~1
󰁿	4(N08)~2
𒕝	5(N08)~1
𒕞	6(N08)~1
𒕟	7(N08)~1
𒕠	8(N08)~1
𒕡	9(N08)~1
󰃵	1(N08~b)~1
󰃶	2(N08~b)~1
󰃷	3(N08~b)~1
󰃸	4(N08~b)~1
󰃹	4(N08~c)~1
󰃺	1(N08~v)~1
𒙕	1(N08@f)~1
𒙃	1(N09)~1
𒙄	1(N11)~1
𒙅	1(N12)~1
𒕢	1(N14)~1
𒕣	2(N14)~1
𒕤	3(N14)~1
𒕥	4(N14)~1
𒕦	5(N14)~1
󰂀	5(N14)~2
𒕧	6(N14)~1
󰂁	6(N14)~2
𒕨	7(N14)~1
󰂂	7(N14)~2
𒕩	8(N14)~1
󰂃	8(N14)~2
𒕪	9(N14)~1
󰂄	9(N14)~2
󰃛	10(N14)~1
󰃜	11(N14)~1
󰃝	12(N14)~1
󰃞	22(N14)~1
𒙖	1(N14@f)~1
𒙗	2(N14@f)~1
𒙘	3(N14@f)~1
𒙙	4(N14@f)~1
𒙚	5(N14@f)~1
󰂅	5(N14@f)~2
𒙛	6(N14@f)~1
󰂆	6(N14@f)~2
𒙜	7(N14@f)~1
󰂇	7(N14@f)~2
𒙝	8(N14@f)~1
󰂈	8(N14@f)~2
𒙞	9(N14@f)~1
󰂉	9(N14@f)~2
󰃟	10(N14@f)~1
𒗇	1(N15)~1
𒗈	2(N15)~1
𒗉	3(N15)~1
𒗊	4(N15)~1
𒗋	5(N15)~1
󰂊	5(N15)~2
󰃻	1(N16)~1
󰃼	1(N17)~1
𒗴	1(N18)~1
𒗵	2(N18)~1
𒗶	3(N18)~1
𒗷	4(N18)~1
𒗸	5(N18)~1
󰂋	5(N18)~2
𒗹	6(N18)~1
󰂌	6(N18)~2
𒗺	7(N18)~1
󰂍	7(N18)~2
𒗻	8(N18)~1
󰂎	8(N18)~2
𒗼	9(N18)~1
󰂏	9(N18)~2
𒘋	1(N19)~1
𒘌	2(N19)~1
𒘍	3(N19)~1
𒘎	4(N19)~1
𒘏	5(N19)~1
󰂐	5(N19)~2
𒘐	6(N19)~1
󰂑	6(N19)~2
𒘑	7(N19)~1
󰂒	7(N19)~2
𒘒	8(N19)~1
󰂓	8(N19)~2
𒘓	9(N19)~1
󰂕	9(N19)~2
󰂔	9(N19)~v~1
𒙻	1(N19@f)~1
𒙼	2(N19@f)~1
𒙽	3(N19@f)~1
𒙾	4(N19@f)~1
𒙿	5(N19@f)~1
󰂖	5(N19@f)~2
𒚀	6(N19@f)~1
󰂗	6(N19@f)~2
𒚁	7(N19@f)~1
󰂘	7(N19@f)~2
𒚂	8(N19@f)~1
󰂙	8(N19@f)~2
𒚃	9(N19@f)~1
󰂚	9(N19@f)~2
𒘶	1(N20)~1
𒘷	2(N20)~1
𒘸	3(N20)~1
𒘹	4(N20)~1
𒘺	5(N20)~1
󰂛	5(N20)~2
𒘻	6(N20)~1
󰂜	6(N20)~2
𒘼	7(N20)~1
󰂝	7(N20)~2
𒘽	8(N20)~1
󰂞	8(N20)~2
𒘾	9(N20)~1
󰂟	9(N20)~2
𒗚	1(N21)~1
𒗛	2(N21)~1
𒗜	3(N21)~1
𒗝	4(N21)~1
𒗞	5(N21)~1
󰂠	5(N21)~2
󰃠	6(N21)~1
𒖌	1(N22)~1
𒖍	2(N22)~1
󰃽	1(N22~v)~1
𒙪	1(N22@f)~1
𒙫	2(N22@f)~1
󰃾	1(N23)~1
󰃿	2(N23)~1
󰄀	3(N23)~1
󰄁	5(N23)~1
󰄂	7(N23)~1
𒖪	1(N24)~1
󰄃	2(N24)~1
󰄄	4(N24)~1
󰄅	6(N24)~1
󰄆	1(N24@f)~1
𒗪	1(N24A)~1
𒗾	1(N24B)~1
𒘣	1(N25)~1
𒖫	1(N26)~1
󰂡	1(N26)~2
𒗿	1(N26B)~1
𒘤	1(N27)~1
󰂢	1(N27)~2
𒖬	1(N28)~1
𒘀	1(N28B)~1
𒘥	1(N28C)~1
𒖭	1(N29A)~1
󰂣	1(N29A)~2
󰄇	2(N29A)~1
𒘁	1(N29AB)~1
󰄊	2(N29AB)~1
𒘦	1(N29AC)~1
𒖮	1(N29B)~1
󰄈	2(N29B)~1
󰄉	1(N29C)~1
𒖯	1(N30A)~1
󰂤	1(N30A)~2
𒘧	1(N30AC)~1
󰄋	1(N30B)~1
𒖰	1(N30C)~1
󳂁	1(N30CA)~1
󰄌	1(N30CB)~1
𒘨	1(N30CC)~1
𒖱	1(N30D)~1
𒖲	1(N30E)~1
𒖳	1(N31)~1
𒖴	1(N32)~1
𒖵	1(N33)~1
𒕫	1(N34)~1
󰄭	|1(N34)×1(N58)|~1
𒕬	2(N34)~1
󰂥	2(N34)~2
𒕭	3(N34)~1
󰂦	3(N34)~2
𒕮	4(N34)~1
𒕯	5(N34)~1
󰂧	5(N34)~2
𒕰	6(N34)~1
󰂨	6(N34)~2
𒕱	7(N34)~1
󰂩	7(N34)~2
𒕲	8(N34)~1
󰂪	8(N34)~2
𒕳	9(N34)~1
󰂫	9(N34)~2
𒙟	1(N34@f)~1
𒙠	2(N34@f)~1
𒙡	3(N34@f)~1
𒙢	4(N34@f)~1
𒙣	5(N34@f)~1
󰂬	5(N34@f)~2
𒙤	6(N34@f)~1
󰂭	6(N34@f)~2
𒙥	7(N34@f)~1
󰂮	7(N34@f)~2
𒙦	8(N34@f)~1
󰂯	8(N34@f)~2
𒙧	9(N34@f)~1
󰂰	9(N34@f)~2
𒙵	1(N34@f@t)~1
𒗌	1(N35)~1
𒗍	2(N35)~1
󰂱	2(N35)~2
𒗎	3(N35)~1
𒗏	4(N35)~1
𒗐	5(N35)~1
󰂲	5(N35)~2
𒘖	1(N36)~1
𒘗	2(N36)~1
󰂳	2(N36)~2
𒘘	3(N36)~1
󰂴	3(N36)~2
𒘙	4(N36)~1
𒘚	5(N36)~1
󰂵	5(N36)~2
𒘛	6(N36)~1
󰂶	6(N36)~2
𒘜	7(N36)~1
󰂷	7(N36)~2
𒘝	8(N36)~1
󰂸	8(N36)~2
𒘞	9(N36)~1
󰂹	9(N36)~2
𒚆	1(N36@f)~1
𒙁	1(N37)~1
𒙂	2(N37)~1
󰂺	2(N37)~2
𒗟	1(N38)~1
𒖶	1(N39A)~1
𒖷	2(N39A)~1
𒖸	3(N39A)~1
𒖹	4(N39A)~1
𒖺	1(N39B)~1
𒖻	2(N39B)~1
𒖼	3(N39B)~1
𒖽	4(N39B)~1
𒗫	1(N40)~1
𒗬	2(N40)~1
𒗭	3(N40)~1
𒗮	4(N40)~1
𒘂	1(N41)~1
𒘃	2(N41)~1
𒘄	3(N41)~1
𒘅	4(N41)~1
𒘩	1(N42A)~1
𒘪	2(N42A)~1
𒘫	3(N42A)~1
𒘬	4(N42A)~1
𒘭	1(N42B)~1
𒘮	2(N42B)~1
𒘯	3(N42B)~1
𒘰	4(N42B)~1
󰄍	1(N43)~1
󰄎	4(N43)~1
󰃡	1(N44)~1
𒕹	1(N45)~1
𒕺	2(N45)~1
󰂻	2(N45)~2
𒕻	3(N45)~1
𒕼	4(N45)~1
𒕽	5(N45)~1
󰂼	5(N45)~2
𒕾	6(N45)~1
󰂽	6(N45)~2
𒕿	7(N45)~1
󰂾	7(N45)~2
𒖀	8(N45)~1
𒖁	9(N45)~1
󰂿	9(N45)~2
𒙨	1(N45@f)~1
𒙩	2(N45@f)~1
󰃢	3(N45@f)~1
󰃣	4(N45@f)~1
󰃤	5(N45@f)~1
󰃥	6(N45@f)~1
󰃦	7(N45@f)~1
󰃧	8(N45@f)~1
󰃨	9(N45@f)~1
𒗽	1(N45A)~1
𒘔	1(N46)~1
𒘕	2(N46)~1
󰃀	2(N46)~2
󰃩	3(N46)~1
𒚄	1(N46@f)~1
𒚅	2(N46@f)~1
𒘿	1(N47)~1
𒙀	2(N47)~1
󰃁	2(N47)~2
󰃪	3(N47)~1
𒕴	1(N48)~1
𒕵	2(N48)~1
󰃂	2(N48)~2
𒕶	3(N48)~1
󰃃	3(N48)~2
𒕷	4(N48)~1
𒕸	5(N48)~1
󰃄	5(N48)~2
󰃫	6(N48)~1
󰃬	7(N48)~1
󰄏	1(N48@f)~1
𒘟	1(N49)~1
𒘠	2(N49)~1
󰃅	2(N49)~2
𒘡	3(N49)~1
󰃆	3(N49)~2
𒘢	4(N49)~1
󰃭	5(N49)~1
𒖂	1(N50)~1
𒖃	2(N50)~1
󰃇	2(N50)~2
𒖄	3(N50)~1
𒖅	4(N50)~1
𒖆	5(N50)~1
󰃈	5(N50)~2
𒖚	1(N51)~1
𒖛	2(N51)~1
󰃉	2(N51)~2
𒖜	3(N51)~1
𒖝	4(N51)~1
𒖞	5(N51)~1
󰃊	5(N51)~2
𒖟	6(N51)~1
󰃋	6(N51)~2
𒖠	7(N51)~1
󰃌	7(N51)~2
𒖡	8(N51)~1
󰃍	8(N51)~2
𒖢	9(N51)~1
𒙬	1(N51@f)~1
𒙭	2(N51@f)~1
󰃎	2(N51@f)~2
𒙮	3(N51@f)~1
𒙯	4(N51@f)~1
𒙰	5(N51@f)~1
󰃏	5(N51@f)~2
𒙱	6(N51@f)~1
󰃐	6(N51@f)~2
𒙲	7(N51@f)~1
󰃑	7(N51@f)~2
𒙳	8(N51@f)~1
󰃒	8(N51@f)~2
𒙴	9(N51@f)~1
󰃓	9(N51@f)~2
𒗠	1(N52)~1
𒗡	2(N52)~1
󰃔	2(N52)~2
𒗢	3(N52)~1
𒗣	4(N52)~1
𒗤	5(N52)~1
󰃕	5(N52)~2
𒗥	6(N52)~1
𒗦	7(N52)~1
𒗧	8(N52)~1
𒗨	9(N52)~1
󰃮	3(N53)~1
𒖣	1(N54)~1
𒖤	2(N54)~1
󰃖	2(N54)~2
𒖥	3(N54)~1
𒖦	4(N54)~1
𒖧	5(N54)~1
󰃗	5(N54)~2
󰃯	1(N55)~1
𒖨	1(N56)~1
𒖩	2(N56)~1
󰃘	2(N56)~2
󰄐	1(N57)~1
󰄑	2(N57)~1
󲰦	2(N57)~2
󰄒	3(N57)~1
󰄓	4(N57)~1
󰄔	5(N57)~1
󰄕	6(N57)~1
󰃙	6(N57)~v~1
󰄖	7(N57)~1
󰄗	8(N57)~1
󰄘	9(N57)~1
󰄙	10(N57)~1
󰄚	1(N58)~1
󰄛	2(N58)~1
󰄜	3(N58)~1
󰄝	4(N58)~1
󰄞	5(N58)~1
󰄟	8(N58)~1
󰄠	9(N58)~1
󰄡	10(N58)~1
󰄢	12(N58)~1
󰄣	1(N58@t)~1
󰄤	1(N59)~1
󰄥	2(N59)~1
󰄦	3(N59)~1
󰄧	4(N59)~1
󰄨	6(N59)~1
󳂀	7(N59)~1
𒗩	1(N60)~1
󰄩	3(N61)~1
󰄪	4(N62)~1
󰄫	1(N63)~1
󲠡	GIR₄~1
󲶆	|LAGAB~b×X|~1
󲣩	LAK172~1
󲦑	PA₃~1
󲻆	|(ZU&ZU).SAR~a|~1
