id_text	accession_no	accounting_period	acquisition_history	alternative_years	ark_number	atf_source	atf_up	author	author_remarks	cdli_collation	cdli_comments	citation	collection	composite_id	condition_description	date_entered	date_of_origin	date_remarks	date_updated	dates_referenced	db_source	designation	dumb	dumb2	electronic_publication	elevation	excavation_no	external_id	findspot_remarks	findspot_square	genre	google_earth_collection	google_earth_provenience	height	id	id_text2	id_text_int	join_information	language	lineart_up	material	museum_no	object_preservation	object_type	period	period_remarks	photo_up	primary_publication	provenience	provenience_remarks	publication_date	publication_history	published_collation	seal_id	seal_information	stratigraphic_level	subgenre	subgenre_remarks	surface_preservation	text_remarks	thickness	translation_source	width	object_remarks
P000955					21198/zz001qgw8c	Englund, Robert K.		nn					Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	VA — ?					W 07204,b		Scherbenschicht an der Rillenwand IV// t.a.q. IIIc	Pd XVI,3	Administrative			44	891	0	955		undetermined	150ppi 20160630	clay	VA — ?		tablet	Uruk IV (ca. 3350-3200 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd			Sx							21	no translation	44		
P000958					21198/zz001qgwcx	Englund, Robert K.		Englund, Robert K.	75x54x25; Pe XVI,3, in the layer of sherds northeast of the niched wall belonging to level IV; ATU 1, 339; 25.2.1930; the account includes the largest number of large cattle attested in the Uruk IV text corpus; see the remarks to W 9123,b and ATU 1, p. 48		20130228 englund: cast in the collection of the Field Museum, Chicago	R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 156 fig. 53; J. Bauer, AfO 48/49 (2001/2002) 171	Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 026, W 7227,a					W 07227,a		in der Scherbenschicht nordöstlich der Rillenwand der Schicht IV// t.a.q. IIIc	Pe XVI,3	Administrative			75	893	0	958		undetermined	150ppi 20160630	clay	VAT 15002		tablet	Uruk IV (ca. 3350-3200 BC)		600ppi 20160630	ATU 5, pl. 026, W 7227,a	Uruk (mod. Warka)		1994	ATU 1, 339;									25	no translation	54		
P000959					21198/zz001qgwdf	Englund, Robert K.		Englund, Robert K.	76x48x28; same locus as W 7227,a; ATU 1, 276; UVB 2, fig. 40 photo; 25.2.1930.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 026, W 7227,b					W 07227,b		in der Scherbenschicht nordöstlich der Rillenwand der Schicht IV// t.a.q. IIIc	Pe XVI,3	Administrative			76	894	0	959		undetermined	150ppi 20160630	clay	VAT 14851		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 026, W 7227,b	Uruk (mod. Warka)		1994	ATU 1, 276; UVB 2, 1931, fig. 40 (p)									28	no translation	48		
P000960					21198/zz001qgwfz	Englund, Robert K.		Englund, Robert K.	76x50x23; same locus as W 7227,a; ATU 1, 344; 25.2.1930; note the use of the double dividing line to separate sections of the entries on the obverse of the text (in this case of the first two columns) which are totaled separately on its reverse.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 027, W 7227,c					W 07227,c		in der Scherbenschicht nordöstlich der Rillenwand der Schicht IV// t.a.q. IIIc	Pe XVI,3	Administrative			76	895	0	960		undetermined	150ppi 20160630	clay	VAT 15132		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 027, W 7227,c	Uruk (mod. Warka)		1994	ATU 1, 344									23	no translation	50		
P000961					21198/zz001qgwgg	Englund, Robert K.		Englund, Robert K.	73x47x28; same locus as W 7227,a; ATU 1, 313; 25.2.1930.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 027, W 7227,d					W 07227,d		in der Scherbenschicht nordöstlich der Rillenwand der Schicht IV// t.a.q. IIIc	Pe XVI,3	Administrative			73	896	0	961		undetermined	150ppi 20160630	clay	VAT 15164		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 027, W 7227,d	Uruk (mod. Warka)		1994	ATU 1, 313									28	no translation	47		
P000962					21198/zz001qgwh0	Englund, Robert K.		Englund, Robert K.	70x52x22; same locus as W 7227,a; ATU 1, 258; 25.2.1930; numerical notations in EN system (cf. P. Damerow and R. Englund, ATU 2, 143-143-144, 15675); the text is possibly a school exercise with a progressive division by two (7 1/2 ÷ 2 = 3 3/4; 3 3/4 ÷ 2 ≈				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 027, W 7227,e					W 07227,e		in der Scherbenschicht nordöstlich der Rillenwand der Schicht IV// t.a.q. IIIc	Pe XVI,3	Administrative			70	897	0	962		undetermined	150ppi 20160630	clay	VAT 15091		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 027, W 7227,e	Uruk (mod. Warka)		1994	ATU 1, 258									22	no translation	52		
P000963					21198/zz001qgv39	Englund, Robert K.		Englund, Robert K.	65x49x24; same locus as W 7227,a; ATU 1, 327; 25.2.1930; the relationship between the sexagesimal notations on the obverse and a large bisexagesimal notation on the reverse is not obvious; see P. Damerow and R. Englund, ATU 2, p. 130.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 027, W 7227,f					W 07227,f		in der Scherbenschicht nordöstlich der Rillenwand der Schicht IV// t.a.q. IIIc	Pe XVI,3	Administrative			65	898	0	963		undetermined	150ppi 20160630	clay	VAT 15016		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 027, W 7227,f	Uruk (mod. Warka)		1994	ATU 1, 327									24	no translation	49		
P000964					21198/zz001qgv4t	Englund, Robert K.		Englund, Robert K.	70x51x24; same locus as W 7227,a; 25.2.1930; VAT number written above a stricken VAT 17782.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 028, W 7227,g					W 07227,g		in der Scherbenschicht nordöstlich der Rillenwand der Schicht IV// t.a.q. IIIc	Pe XVI,3	Administrative			70	899	0	964		undetermined	150ppi 20160630	clay	VAT 15077		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 028, W 7227,g	Uruk (mod. Warka)		1994										24	no translation	51		
P000965					21198/zz001qgv5b	Englund, Robert K.		Englund, Robert K.	45x46x24; same locus as W 7227,a; ATU 1, 545; 25.2.1930.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 028, W 7227,h					W 07227,h		in der Scherbenschicht nordöstlich der Rillenwand der Schicht IV// t.a.q. IIIc	Pe XVI,3	Administrative			45	900	0	965		undetermined	150ppi 20160630	clay	VAT 15184		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 028, W 7227,h	Uruk (mod. Warka)		1994	ATU 1, 545									24	no translation	46		
P000966					21198/zz001qgv6v	Englund, Robert K.		Englund, Robert K.	49x36x21; same locus as W 7227,a; 25.2.1930; VAT number written above a stricken VAT 17789.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 028, W 7227,i					W 07227,i		in der Scherbenschicht nordöstlich der Rillenwand der Schicht IV// t.a.q. IIIc	Pe XVI,3	Administrative			49	901	0	966		undetermined	150ppi 20160630	clay	VAT 15084		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 028, W 7227,i	Uruk (mod. Warka)		1994										21	no translation	36		
P000967					21198/zz001qgv7c	Englund, Robert K.		Englund, Robert K.	35x30x28; same locus as W 7227,a; ATU 1, 431; 25.2.1930.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 028, W 7227,k					W 07227,k		in der Scherbenschicht nordöstlich der Rillenwand der Schicht IV// t.a.q. IIIc	Pe XVI,3	Administrative			35	902	0	967		undetermined	150ppi 20160630	clay	VAT 15124		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 028, W 7227,k	Uruk (mod. Warka)		1994	ATU 1, 431									28	no translation	30		
P000968					21198/zz001qgv8w	Englund, Robert K.		Englund, Robert K.	35x28x21; same locus as W 7227,a; 25.2.1930; VAT number written above a stricken VAT 17771.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 028, W 7227,l					W 07227,l		in der Scherbenschicht nordöstlich der Rillenwand der Schicht IV// t.a.q. IIIc	Pe XVI,3	Administrative			35	903	0	968		undetermined	150ppi 20160630	clay	VAT 15341		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 028, W 7227,l	Uruk (mod. Warka)		1994										21	no translation	28		
P000969					21198/zz001qgv9d	Englund, Robert K.		Englund, Robert K.	29x47x16; same locus as W 7227,a; ATU 1, 369; 25.2.1930; sealed fragment.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 028, W 7227,m					W 07227,m		in der Scherbenschicht nordöstlich der Rillenwand der Schicht IV// t.a.q. IIIc	Pe XVI,3	Administrative			29	904	0	969		undetermined	150ppi 20160630	clay	VAT 15041		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 028, W 7227,m	Uruk (mod. Warka)		1994	ATU 1, 369									16	no translation	47		
P000977					21198/zz001qgvkj	Englund, Robert K.		Englund, Robert K.	66x49x24; same locus as W 7272,a; 26.2.1930; ""blank tablet.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 029, W 7272,h					W 07272,h		Scherbenschicht der Schicht IV// t.a.q. IIIc	Pe XVI,3	Administrative			66	912	0	977		undetermined	150ppi 20160630	clay	VAT 21284		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 029, W 7272,h	Uruk (mod. Warka)		1994										24	no translation	49		
P000978					21198/zz001qgvm2	Englund, Robert K.		Englund, Robert K.	61x35x26; same locus as W 7272,a; 26.2.1930; ""blank tablet.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 030, W 7272,i					W 07272,i		Scherbenschicht der Schicht IV// t.a.q. IIIc	Pe XVI,3	Administrative			61	913	0	978		undetermined	150ppi 20160630	clay	VAT 21285		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 030, W 7272,i	Uruk (mod. Warka)		1994										26	no translation	35		
P000979					21198/zz001qgvnk	no atf		nn					Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	VA — ?					W 07272,k		Scherbenschicht der Schicht IV// t.a.q. IIIc	Pe XVI,3	Administrative			?	914	0	979		undetermined		clay	VA — ?		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd										?	no translation	?		
P000980					21198/zz001qgvp3	no atf		nn					Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	VA — ?					W 07272,l		Scherbenschicht der Schicht IV// t.a.q. IIIc	Pe XVI,3	Administrative			?	915	0	980		undetermined		clay	VA — ?		tablet	Uruk III (ca. 3200-3000 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd										?	no translation	?		
P000981					21198/zz001qgvqm	Englund, Robert K.		Englund, Robert K.	69x51x27; same locus as W 7272,a; 26.2.1930; ""blank tablet.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 030, W 7298					W 07298		Scherbenschicht der Schicht IV	PeXVI,3	Administrative			69	916	0	981		undetermined	150ppi 20160630	clay	VAT 21286		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 030, W 7298	Uruk (mod. Warka)		1994										27	no translation	51		
P000982					21198/zz001qgvr4	Englund, Robert K.		Englund, Robert K.	36x25x20; Pe XVI,3, 1 m above the southeastern wall of the limestone base of level V; ATU 1, 507; 28.2.1930; no join with W 7329,b+c.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 030, W 7329,a					W 07329,a		1 m über der südöstlichen Mauer des Kalksteinsockels der Schicht V	Pe XVI,3	Administrative			36	917	0	982		undetermined	150ppi 20160630	clay	VAT 15065		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 030, W 7329,a	Uruk (mod. Warka)		1994	ATU 1, 507									20	no translation	25		
P000983					21198/zz001qgvsn	Englund, Robert K.		Englund, Robert K.	32x49x16; same locus as W 7329,a; the fragment W 7329,b is ATU 1, 478; 28.2.1930.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 030, W 7329,b+					W 07329,b + W 07329,c		1 m über der südöstlichen Mauer des Kalksteinsockels der Schicht V	Pe XVI,3	Administrative			33	918	0	983	P000983 lead, single entry	undetermined	150ppi 20160630	clay	VAT 15087 + VAT 15319		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 030, W 7329,b+	Uruk (mod. Warka)		1994	ATU 1, 478									17	no translation	41		
P000985					21198/zz001qgvvp	Englund, Robert K.		Englund, Robert K.	72x55x15; Pc/d XVI,3/4, southeast of the grave in room 90, level II/III; ATU 1, 601; ATU 2, pl. 44 obv. photo; 1.3.1930; Uruk III; compare the remarks to W 5233,a; this and the following tablet bore only the excavation number ""W 7343.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 030, W 7343,1					W 07343,1		südöstlich Grab in Raum 90, Schicht II/III// t.a.q. II	Pc/d XVI,3/4	Administrative			72	919	0	985		undetermined	150ppi 20160630	clay	VAT 15234		tablet	Uruk III (ca. 3200-3000 BC)			ATU 5, pl. 030, W 7343,1	Uruk (mod. Warka)		1994	ATU 1, 601; ATU 2, plate 44 obv. (p), published as W 7343									15	no translation	55		
P000986					21198/zz001qgvw6	Englund, Robert K.		Englund, Robert K.	63x50x15; same locus as W 7343,1; 1.3.1930; s. preceding comment.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 031, W 7343,2					W 07343,2		südöstlich Grab in Raum 90, Schicht II/III	Pc/d XVI,3/4	Administrative			63	920	0	986		undetermined	150ppi 20160630	clay	VAT 21361		tablet	Uruk III (ca. 3200-3000 BC)			ATU 5, pl. 031, W 7343,2	Uruk (mod. Warka)		1994										15	no translation	50		
P000988					21198/zz001qgvz7	Englund, Robert K.		Englund, Robert K.	34x23x24; Pd XVI,2, against the inner wall of level IV below the basin; 5.3.1930; VAT number written above stricken VAT 17796.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 031, W 7406					W 07406		an innerer Wand der Schicht IV unter Wasserbecken// t.a.q. IIIc	Pd XVI,2	Administrative			34	922	0	988		undetermined	150ppi 20160630	clay	VAT 15240		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 031, W 7406	Uruk (mod. Warka)		1994										24	no translation	23		
P000989					21198/zz001qgw07	Englund, Robert K.		Englund, Robert K.	30x51x16; Pc XVI,5, against Riemchen masonry of level III, 0.80 m above the limestone base of level V; ATU 1, 575; ATU 2, pl. 44 Vs. photo; 13.11.1930; Uruk III; tablet reverse may have been incompletely erased; see ATU 1, p. 22.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 031, W 7717					W 07717		an Riemchenmauerwerk der Schicht III, 0,80 m über dem Kalksteinsockel der Schicht V// t.a.q. II	Pc XVI,5	Administrative			30	923	0	989		undetermined	150ppi 20160630	clay	VAT 15136		tablet	Uruk III (ca. 3200-3000 BC)			ATU 5, pl. 031, W 7717	Uruk (mod. Warka)		1994	ATU 1, 575; ATU 2, plate 44 obv. (p), published as W 7717									16	no translation	51		
P000990					21198/zz001qgw1r	Englund, Robert K.		Englund, Robert K.	54x50x26; Pe XVI,4, level IV; ATU 1, 534; 25.11.1930; the text appears to be a school exercise.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 031, W 7880					W 07880		Schicht IV	Pe XVI,4	Administrative			54	924	0	990		undetermined	150ppi 20160630	clay	VAT 14905		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 031, W 7880	Uruk (mod. Warka)		1994	ATU 1, 534									26	no translation	50		
P000991					21198/zz001qgw28	Englund, Robert K.		Englund, Robert K.	27x39x20; Pe XVI,4, level IV; 25.11.1930.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 031, W 7881					W 07881		dicht über kleinem Kanal	Pe XVI,4	Administrative			27	925	0	991		undetermined	150ppi 20160630	clay	VAT 21343		tablet	Uruk III (ca. 3200-3000 BC)			ATU 5, pl. 031, W 7881	Uruk (mod. Warka)		1994										20	no translation	39		
P000993					21198/zz001qgw49	Englund, Robert K.		Englund, Robert K.	55x28x26; same locus as W 7882; 25.11.1930; sealed fragment, no traces of signs preserved, not a join with W 7884.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 031, W 7883					W 07883		dicht über kleinem Kanal	Pc XVI,4	Administrative			55	927	0	993		undetermined	150ppi 20160630	clay	VA 13623		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 031, W 7883	Uruk (mod. Warka)		1994			Sx							26	no translation	28		
P000994					21198/zz001qgw5t	no atf		nn					Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	VA 13623					W 07884		dicht über kleinem Kanal	Pc XVI,4	Administrative			?	928	0	994		undetermined	150ppi 20160630	clay	VA 13623		tablet	Uruk IV (ca. 3350-3200 BC)			unpublished unassigned ?	Uruk (mod. Warka)		nd			Sx							?	no translation	?		
P000995					21198/zz001qgw6b	Englund, Robert K.		Englund, Robert K.	62x57x31; Pc XVI,5, 1.2 m above southwestern wing of Limestone Temple; ATU 1, 590; 2.12.1930.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 032, W 8063					W 08063		1,2 m über Kalkstein-Südwesttrakt	Pc XVI,5	Administrative			62	929	0	995		undetermined	150ppi 20160630	clay	VAT 15217		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 032, W 8063	Uruk (mod. Warka)		1994	ATU 1, 590									31	no translation	57		
P000996					21198/zz001qgxz6	Englund, Robert K.		Englund, Robert K.	78x63x27; Pb XVI,4, 1 m to the west and 0.75 m higher than the upper edge of the surface of fired clay; ATU 1, 578; ATU 2, pl. 44 obv. photo; 11.12.1930; incorrectly interpreted as an account of slaves by A. Vaiman, VDI 1974/2, 141 (=BagM 20, 124), no. 23				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 032, W 8273					W 08273		1 m westlich, 0,75 m höher als Oberkante der gebrannten Tonfläche// t.a.q. II	Pb XVI,4	Administrative			78	930	0	996		undetermined	150ppi 20160630	clay	VAT 15336		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 032, W 8273	Uruk (mod. Warka)		1994	ATU 1, 578; ATU 2, plate 44 obv. (p), published as W 8273.; A. Vaiman, VDI 1974/2, 141 no. 23									27	no translation	63		
P000997					21198/zz001qgz06	Englund, Robert K.		Englund, Robert K.	29x40x20; Pb XVI,4, in mud-brick masonry of level III, 2 m above the height of the limestone base; ATU 1, 591; ATU 2, pl. 44 obv. photo; 11.12.1930; lexical text?				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 032, W 8274					W 08274		im Lehmziegelmauerwerk der Schicht III, 2 m über Höhe des Kalksteinsockels// t.a.q. II	Pb XVI,4	Administrative			29	931	0	997		undetermined	150ppi 20160630	clay	VAT 15254		tablet	Uruk III (ca. 3200-3000 BC)			ATU 5, pl. 032, W 8274	Uruk (mod. Warka)		1994	ATU 1, 591; ATU 2, plate 44 obv. (p), published as W 8274									20	no translation	40		
P000998					21198/zz001qgz1q	Englund, Robert K.		Englund, Robert K.	58x45x19; Pa XV,4, in the deep sounding at the northern corner of the Ur-Nammu ziqqurrat about 4 m below the height of the Ur-Nammu level; ATU 1, 303; 17.12.1930.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 032, W 8405					W 08405		im Tiefschnitt an der Nordecke der Urnammu-Sikurrat etwa 4 m unter der Höhe Urnammus	Pa XV,4	Administrative			58	932	0	998		undetermined	150ppi 20160630	clay	VAT 14879		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 032, W 8405	Uruk (mod. Warka)		1994	ATU 1, 303									19	no translation	45		
P000999					21198/zz001qgz27	Englund, Robert K.		Englund, Robert K.	65x51x25; same locus as W 8405; ATU 1, 309; 17.12.1930.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 033, W 8406					W 08406		im Tiefschnitt an der Nordecke der Urnammu-Sikurrat etwa 4 m unter der Höhe Urnammus	Pa XV,4	Administrative			65	933	0	999		undetermined	150ppi 20160630	clay	VAT 15339		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 033, W 8406	Uruk (mod. Warka)		1994	ATU 1, 309									25	no translation	51		
P001000					21198/zz001qgz3r	Englund, Robert K.		Englund, Robert K.	25x15x14; Pb XVI,4, below mud-brick of level II; 23.12.1930.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 033, W 8618					W 08618		unter Lehmziegel der Schicht II// t.a.q. IIIc	Pb XVI,4	Administrative			25	934	0	1000		undetermined	150ppi 20160630	clay	VAT 15267		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 033, W 8618	Uruk (mod. Warka)		1994										14	no translation	15		
P001001					21198/zz001qgz48	Englund, Robert K.		Englund, Robert K.	31x23x13; Pb XVI,5, in rain furrow south of the wall of the Red Temple, in the same height; ATU 1, 596; 27.12.1930.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 033, W 8751					W 08751		in der Regenfurche etwas südlich der Wand des Roten Tempels in dessen Höhe	Pb XVI,5	Administrative			31	935	0	1001		undetermined	150ppi 20160630	clay	VAT 15209		tablet	Uruk III (ca. 3200-3000 BC)			ATU 5, pl. 033, W 8751	Uruk (mod. Warka)		1994	ATU 1, 596									13	no translation	23		
P001002					21198/zz001qgz5s	Englund, Robert K.		Englund, Robert K.	83x59x33; Pe/Qa XVI,2 ?, 2 m east of the remains of the northeastern face of the Limestone Temple, 1 m below the height of the rain pavement belonging to level III; 3.1.1931.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 033, W 9070					W 09070		2 m östlich der Reste der Nordostfornt des Kalksteintempels, 1 m unter der Höhe der Traufpflaster der Schicht III// t.a.q. IIIc	Pe/Qa XVI,2 ?	Administrative			83	936	0	1002		undetermined	150ppi 20160630	clay	VAT 15243		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 033, W 9070	Uruk (mod. Warka)		1994										33	no translation	59		
P001003					21198/zz001qgz69	Englund, Robert K.		Englund, Robert K.	65x49x25; same locus as W 9070; ATU 1, 365; 3.1.1931.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 033, W 9071,a					W 09071,a		2 m östlich der Reste der Nordostfront des Kalksteintempels, 1 m unter Höhe der Traufpflaster der Schicht III// t.a.q. IIIc	Pe/Qa XVI,2 ?	Administrative			65	937	0	1003		undetermined	150ppi 20160630	clay	VAT 15026		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 033, W 9071,a	Uruk (mod. Warka)		1994	ATU 1, 365									25	no translation	49		
P001004					21198/zz001qgz7t	Englund, Robert K.		Englund, Robert K.	25x26x14; same locus as W 9070; ATU 1, 128; 3.1.1931.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 033, W 9071,b					W 09071,b		2 m östlich der Reste der Nordostfornt des Kalksteintempels, 1 m unter der Höhe der Traufpflaster der Schicht III// t.a.q. IIIc	Pe/Qa XVI,2 ?	Administrative			25	938	0	1004		undetermined	150ppi 20160630	clay	VAT 14834		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 033, W 9071,b	Uruk (mod. Warka)		1994	ATU 1, 128									14	no translation	26		
P001005					21198/zz001qgz8b	Englund, Robert K.		Englund, Robert K.	36x45x22; same locus as W 9070; ATU 1, 518; 3.1.1931.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 034, W 9071,c					W 09071,c		2 m östlich der Reste der Nordostfornt des Kalksteintempels, 1 m unter der Höhe der Traufpflaster der Schicht III// t.a.q. IIIc	Pe/Qa XVI,2 ?	Administrative			36	939	0	1005		undetermined	150ppi 20160630	clay	VAT 14883		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 034, W 9071,c	Uruk (mod. Warka)		1994	ATU 1, 518									22	no translation	45		
P001006					21198/zz001qgz9v	Englund, Robert K.		Englund, Robert K.	29x27x16; same locus as W 9070; 3.1.1931; VAT number written above stricken VAT 17793?.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 034, W 9071,d1					W 09071,d1		2 m östlich der Reste der Nordostfornt des Kalksteintempels, 1 m unter der Höhe der Traufpflaster der Schicht III// t.a.q. IIIc	P/Qa XVI,2 ?	Administrative			29	940	0	1006		undetermined	150ppi 20160630	clay	VAT 15283		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 034, W 9071,d1	Uruk (mod. Warka)		1994										16	no translation	27		
P001007					21198/zz001qgzbc	Englund, Robert K.		Englund, Robert K.	52x49x26; same locus as W 9070; 3.1.1931; VAT number written above stricken VAT 17787.				Vorderasiatisches Museum, Berlin, Germany			12/4/2001			10/20/2018		20011204 protocuneiform_catalogue	ATU 5, pl. 034, W 9071,d2					W 09071,d2		2 m östlich der Reste der Nordostfornt des Kalksteintempels, 1 m unter der Höhe der Traufpflaster der Schicht III	P/Qa XVI,2 ?	Administrative			52	941	0	1007		undetermined	150ppi 20160630	clay	VAT 15338		tablet	Uruk IV (ca. 3350-3200 BC)			ATU 5, pl. 034, W 9071,d2	Uruk (mod. Warka)		1994										26	no translation	49		
