A	PROTO-CUNEIFORM SIGN A
|LAGAB~a×PA~a|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES PA-A
|LAGAB~a×SI|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES SI
|LAGAB~a×SIG₇|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES SIG7
|LAGAB~a×SU~a|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES SU-A
|LAGAB~a×ŠA|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES SHA
|LAGAB~a×ŠITA~a1|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES SHITA-A1
|LAGAB~a×TI|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES TI
|LAGAB~a×U₄|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES U4
|LAGAB~a×UB|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES UB
|LAGAB~a×X|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES X
|LAGAB~a×ZATU753|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES ZATU753
|LAGAB~a×2(N14)|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES TWO-N14
|LAGAB~a×1(N58)|	PROTO-CUNEIFORM SIGN LAGAB-A TIMES ONE-N58
LAGAB~b	PROTO-CUNEIFORM SIGN LAGAB-B
|LAGAB~b.TE|	PROTO-CUNEIFORM SIGN LAGAB-B BESIDE TE
|LAGAB~b×BANŠUR~a|	PROTO-CUNEIFORM SIGN LAGAB-B TIMES BANSHUR-A
|LAGAB~b×GAʾAR~a1|	PROTO-CUNEIFORM SIGN LAGAB-B TIMES GAAR-A1
|LAGAB~b×HI|	PROTO-CUNEIFORM SIGN LAGAB-B TIMES HI
|LAGAB~b×(HI×1(N04))|	PROTO-CUNEIFORM SIGN LAGAB-B TIMES HI TIMES ONE-N4
|LAGAB~b×KUR~e|	PROTO-CUNEIFORM SIGN LAGAB-B TIMES KUR-E
|LAGAB~b×PA~a|	PROTO-CUNEIFORM SIGN LAGAB-B TIMES PA-A
|LAGAB~b×SI|	PROTO-CUNEIFORM SIGN LAGAB-B TIMES SI
|LAGAB~b×SUH₃|	PROTO-CUNEIFORM SIGN LAGAB-B TIMES SUH3
|LAGAB~b×ŠITA~c|	PROTO-CUNEIFORM SIGN LAGAB-B TIMES SHITA-C
|LAGAB~b×U₄|	PROTO-CUNEIFORM SIGN LAGAB-B TIMES U4
|LAGAB~b×X|	PROTO-CUNEIFORM SIGN LAGAB-B TIMES X
|LAGAB~b×1(N01)|	PROTO-CUNEIFORM SIGN LAGAB-B TIMES ONE-N1
|LAGAB~b&LAGAB~b|	PROTO-CUNEIFORM SIGN LAGAB-B OVER LAGAB-B
LAGAR~a	PROTO-CUNEIFORM SIGN LAGAR-A
LAGAR~a@r	PROTO-CUNEIFORM SIGN LAGAR-A REVERSED
LAGAR~b1	PROTO-CUNEIFORM SIGN LAGAR-B1
LAGAR~b2	PROTO-CUNEIFORM SIGN LAGAR-B2
LAGAR~c	PROTO-CUNEIFORM SIGN LAGAR-C
LAHTAN₂	PROTO-CUNEIFORM SIGN LAHTAN2
LAK025	PROTO-CUNEIFORM SIGN LAK025
LAK050	PROTO-CUNEIFORM SIGN LAK050
LAK172	PROTO-CUNEIFORM SIGN LAK172
LAK251	PROTO-CUNEIFORM SIGN LAK251
LAK350	PROTO-CUNEIFORM SIGN LAK350
LAK777	PROTO-CUNEIFORM SIGN LAK777
LAL₂~a	PROTO-CUNEIFORM SIGN LAL2-A
|LAL₂~a×EZEN~a|	PROTO-CUNEIFORM SIGN LAL2-A TIMES EZEN-A
|LAL₂~a×NAGA~a|	PROTO-CUNEIFORM SIGN LAL2-A TIMES NAGA-A
|LAL₂~a×NIM~b2|	PROTO-CUNEIFORM SIGN LAL2-A TIMES NIM-B2
LAL₂~b	PROTO-CUNEIFORM SIGN LAL2-B
LAL₃~a	PROTO-CUNEIFORM SIGN LAL3-A
LAL₃~b	PROTO-CUNEIFORM SIGN LAL3-B
LAL₃~c	PROTO-CUNEIFORM SIGN LAL3-C
LAM~a	PROTO-CUNEIFORM SIGN LAM-A
LAM~b	PROTO-CUNEIFORM SIGN LAM-B
LAM~b@r	PROTO-CUNEIFORM SIGN LAM-B REVERSED
LAM~b@s	PROTO-CUNEIFORM SIGN LAM-B SHESHIG
LAM~b@t	PROTO-CUNEIFORM SIGN LAM-B TENU
LAM~c	PROTO-CUNEIFORM SIGN LAM-C
LI	PROTO-CUNEIFORM SIGN LI
LIŠ	PROTO-CUNEIFORM SIGN LISH
LU₂	PROTO-CUNEIFORM SIGN LU2
|LU₂×GEŠTU~c3|	PROTO-CUNEIFORM SIGN LU2 TIMES GESHTU-C3
LU₂@t	PROTO-CUNEIFORM SIGN LU2 TENU
LUGAL	PROTO-CUNEIFORM SIGN LUGAL
LUM	PROTO-CUNEIFORM SIGN LUM
MA	PROTO-CUNEIFORM SIGN MA
|MA×A|	PROTO-CUNEIFORM SIGN MA TIMES A
|MA×MA|	PROTO-CUNEIFORM SIGN MA TIMES MA
|MA×X|	PROTO-CUNEIFORM SIGN MA TIMES X
|MA×2(N57)|	PROTO-CUNEIFORM SIGN MA TIMES TWO-N57
|MA×1(N58)|	PROTO-CUNEIFORM SIGN MA TIMES ONE-N58
MA₂	PROTO-CUNEIFORM SIGN MA2
MAGUR~a	PROTO-CUNEIFORM SIGN MAGUR-A
MAGUR~b	PROTO-CUNEIFORM SIGN MAGUR-B
MAH~a	PROTO-CUNEIFORM SIGN MAH-A
|MAH~a×AB₂|	PROTO-CUNEIFORM SIGN MAH-A TIMES AB2
|MAH~a×GUKKAL~a|	PROTO-CUNEIFORM SIGN MAH-A TIMES GUKKAL-A
|MAH~a×KU₆~a|	PROTO-CUNEIFORM SIGN MAH-A TIMES KU6-A
|MAH~a×MAŠ|	PROTO-CUNEIFORM SIGN MAH-A TIMES MASH
|MAH~a×NA~a|	PROTO-CUNEIFORM SIGN MAH-A TIMES NA-A
|MAH~a×(SILA₃~a×UMBIN~a)|	PROTO-CUNEIFORM SIGN MAH-A TIMES SILA3-A TIMES UMBIN-A
|MAH~a×TUG₂~a|	PROTO-CUNEIFORM SIGN MAH-A TIMES TUG2-A
|MAH~a×TUN₃~c|	PROTO-CUNEIFORM SIGN MAH-A TIMES TUN3-C
|MAH~a×UD₅~a|	PROTO-CUNEIFORM SIGN MAH-A TIMES UD5-A
|MAH~a×UDU~a|	PROTO-CUNEIFORM SIGN MAH-A TIMES UDU-A
|MAH~a×UR~a|	PROTO-CUNEIFORM SIGN MAH-A TIMES UR-A
|MAH~a×UTUA~a|	PROTO-CUNEIFORM SIGN MAH-A TIMES UTUA-A
|MAH~a×X|	PROTO-CUNEIFORM SIGN MAH-A TIMES X
|MAH~a×ZATU659|	PROTO-CUNEIFORM SIGN MAH-A TIMES ZATU659
MAH~b	PROTO-CUNEIFORM SIGN MAH-B
|MAH~b×KU₆~a|	PROTO-CUNEIFORM SIGN MAH-B TIMES KU6-A
|MAH~b×MAŠ|	PROTO-CUNEIFORM SIGN MAH-B TIMES MASH
|MAH~b×NA~a|	PROTO-CUNEIFORM SIGN MAH-B TIMES NA-A
|MAH~b×SAL|	PROTO-CUNEIFORM SIGN MAH-B TIMES SAL
MAR~a	PROTO-CUNEIFORM SIGN MAR-A
MAR~a@g	PROTO-CUNEIFORM SIGN MAR-A GUNU
MAR~a@t	PROTO-CUNEIFORM SIGN MAR-A TENU
MAR~b	PROTO-CUNEIFORM SIGN MAR-B
|MAR~b×GAR|	PROTO-CUNEIFORM SIGN MAR-B TIMES GAR
|MAR~b×(LAGAB~b.ŠE₃)|	PROTO-CUNEIFORM SIGN MAR-B TIMES LAGAB-B PLUS SHE3
|MAR~b×ŠE~a|	PROTO-CUNEIFORM SIGN MAR-B TIMES SHE-A
|MAR~b×X|	PROTO-CUNEIFORM SIGN MAR-B TIMES X
MAŠ	PROTO-CUNEIFORM SIGN MASH
MAŠ₂	PROTO-CUNEIFORM SIGN MASH2
MAŠ₂@g	PROTO-CUNEIFORM SIGN MASH2 GUNU
ME~a	PROTO-CUNEIFORM SIGN ME-A
ME~b	PROTO-CUNEIFORM SIGN ME-B
ME₃	PROTO-CUNEIFORM SIGN ME3
MEN~a	PROTO-CUNEIFORM SIGN MEN-A
MEN~b	PROTO-CUNEIFORM SIGN MEN-B
MES	PROTO-CUNEIFORM SIGN MES
MIR~a	PROTO-CUNEIFORM SIGN MIR-A
MIR~b	PROTO-CUNEIFORM SIGN MIR-B
MU	PROTO-CUNEIFORM SIGN MU
MUD	PROTO-CUNEIFORM SIGN MUD
MUD₃~a	PROTO-CUNEIFORM SIGN MUD3-A
MUD₃~a@g	PROTO-CUNEIFORM SIGN MUD3-A GUNU
|MUD₃~a@g×GU|	PROTO-CUNEIFORM SIGN MUD3-A GUNU TIMES GU
MUD₃~b	PROTO-CUNEIFORM SIGN MUD3-B
MUD₃~c	PROTO-CUNEIFORM SIGN MUD3-C
MUD₃~d	PROTO-CUNEIFORM SIGN MUD3-D
MUL	PROTO-CUNEIFORM SIGN MUL
MUN~a1	PROTO-CUNEIFORM SIGN MUN-A1
MUN~a2	PROTO-CUNEIFORM SIGN MUN-A2
MUN~a3	PROTO-CUNEIFORM SIGN MUN-A3
MUN~a4	PROTO-CUNEIFORM SIGN MUN-A4
MUN~b	PROTO-CUNEIFORM SIGN MUN-B
MUNŠUB~a	PROTO-CUNEIFORM SIGN MUNSHUB-A
MUNŠUB~b	PROTO-CUNEIFORM SIGN MUNSHUB-B
MUNU₃	PROTO-CUNEIFORM SIGN MUNU3
MURUB₂	PROTO-CUNEIFORM SIGN MURUB2
MUŠ	PROTO-CUNEIFORM SIGN MUSH
MUŠ₃~a	PROTO-CUNEIFORM SIGN MUSH3-A
MUŠ₃~a@g	PROTO-CUNEIFORM SIGN MUSH3-A GUNU
MUŠ₃~b	PROTO-CUNEIFORM SIGN MUSH3-B
MUŠEN	PROTO-CUNEIFORM SIGN MUSHEN
|MUŠEN.UR₃~b2|	PROTO-CUNEIFORM SIGN MUSHEN BESIDE UR3-B2
|MUŠEN.3(N58)|	PROTO-CUNEIFORM SIGN MUSHEN BESIDE THREE-N58
|MUŠEN×PAP~a|	PROTO-CUNEIFORM SIGN MUSHEN TIMES PAP-A
|MUŠEN×X|	PROTO-CUNEIFORM SIGN MUSHEN TIMES X
|MUŠEN×1(N57)|	PROTO-CUNEIFORM SIGN MUSHEN TIMES ONE-N57
|MUŠEN×2(N57)|	PROTO-CUNEIFORM SIGN MUSHEN TIMES TWO-N57
|MUŠEN×3(N57)|	PROTO-CUNEIFORM SIGN MUSHEN TIMES THREE-N57
|1(N02).RU|	PROTO-CUNEIFORM SIGN ONE-N2 BESIDE RU
|X(N57).GAR|	PROTO-CUNEIFORM SIGN X-N57 BESIDE GAR
|1(N57).AB₂|	PROTO-CUNEIFORM SIGN ONE-N57 BESIDE AB2
|1(N57).BU₃|	PROTO-CUNEIFORM SIGN ONE-N57 BESIDE BU3
|1(N57).E₂~a|	PROTO-CUNEIFORM SIGN ONE-N57 BESIDE E2-A
|1(N57).MUŠEN|	PROTO-CUNEIFORM SIGN ONE-N57 BESIDE MUSHEN
|1(N57).SIG|	PROTO-CUNEIFORM SIGN ONE-N57 BESIDE SIG
|1(N57).ŠAH₂~a|	PROTO-CUNEIFORM SIGN ONE-N57 BESIDE SHAH2-A
|1(N57).ŠUBUR|	PROTO-CUNEIFORM SIGN ONE-N57 BESIDE SHUBUR
|2(N57).AB₂|	PROTO-CUNEIFORM SIGN TWO-N57 BESIDE AB2
|2(N57).BIR₃~a|	PROTO-CUNEIFORM SIGN TWO-N57 BESIDE BIR3-A
|2(N57).KU₆~a|	PROTO-CUNEIFORM SIGN TWO-N57 BESIDE KU6-A
|2(N57).MUŠEN|	PROTO-CUNEIFORM SIGN TWO-N57 BESIDE MUSHEN
|2(N57).SU~a|	PROTO-CUNEIFORM SIGN TWO-N57 BESIDE SU-A
|2(N57).ŠUBUR|	PROTO-CUNEIFORM SIGN TWO-N57 BESIDE SHUBUR
|2(N57).UDUNITA~a|	PROTO-CUNEIFORM SIGN TWO-N57 BESIDE UDUNITA-A
|3(N57).AMAR|	PROTO-CUNEIFORM SIGN THREE-N57 BESIDE AMAR
|3(N57).AZ|	PROTO-CUNEIFORM SIGN THREE-N57 BESIDE AZ
|3(N57).BAR×UŠ~a|	PROTO-CUNEIFORM SIGN THREE-N57 BESIDE BAR TIMES USH-A
|3(N57).BARA₃|	PROTO-CUNEIFORM SIGN THREE-N57 BESIDE BARA3
|3(N57).E₂~b|	PROTO-CUNEIFORM SIGN THREE-N57 BESIDE E2-B
|3(N57).EN₂|	PROTO-CUNEIFORM SIGN THREE-N57 BESIDE EN2
|3(N57).GAR|	PROTO-CUNEIFORM SIGN THREE-N57 BESIDE GAR
|3(N57).NUNUZ~a1|	PROTO-CUNEIFORM SIGN THREE-N57 BESIDE NUNUZ-A1
|3(N57).NUNUZ~c|	PROTO-CUNEIFORM SIGN THREE-N57 BESIDE NUNUZ-C
|3(N57).PIRIG~b1|	PROTO-CUNEIFORM SIGN THREE-N57 BESIDE PIRIG-B1
|3(N57).SANGA~a|	PROTO-CUNEIFORM SIGN THREE-N57 BESIDE SANGA-A
|3(N57).SI|	PROTO-CUNEIFORM SIGN THREE-N57 BESIDE SI
|3(N57).ŠUBUR|	PROTO-CUNEIFORM SIGN THREE-N57 BESIDE SHUBUR
|3(N57).UDU~a|	PROTO-CUNEIFORM SIGN THREE-N57 BESIDE UDU-A
|3(N57).UDUNITA~a|	PROTO-CUNEIFORM SIGN THREE-N57 BESIDE UDUNITA-A
|4(N57).AMAR|	PROTO-CUNEIFORM SIGN FOUR-N57 BESIDE AMAR
|4(N57).GAR|	PROTO-CUNEIFORM SIGN FOUR-N57 BESIDE GAR
|4(N57).KU₃~a|	PROTO-CUNEIFORM SIGN FOUR-N57 BESIDE KU3-A
|4(N57).NI~b|	PROTO-CUNEIFORM SIGN FOUR-N57 BESIDE NI-B
|5(N57).GAR|	PROTO-CUNEIFORM SIGN FIVE-N57 BESIDE GAR
|5(N57).KU₃~a|	PROTO-CUNEIFORM SIGN FIVE-N57 BESIDE KU3-A
|6(N57).GAR|	PROTO-CUNEIFORM SIGN SIX-N57 BESIDE GAR
|6(N57).KU₃~a|	PROTO-CUNEIFORM SIGN SIX-N57 BESIDE KU3-A
|7(N57).GAR|	PROTO-CUNEIFORM SIGN SEVEN-N57 BESIDE GAR
|1(N58).BAD|	PROTO-CUNEIFORM SIGN ONE-N58 BESIDE BAD
|(1(N58).BAD)~b|	PROTO-CUNEIFORM SIGN ONE-N58 PLUS BAD FORM B
|3(N58).UR₃~b1|	PROTO-CUNEIFORM SIGN THREE-N58 BESIDE UR3-B1
NA~a	PROTO-CUNEIFORM SIGN NA-A
NA~b	PROTO-CUNEIFORM SIGN NA-B
NA~c	PROTO-CUNEIFORM SIGN NA-C
NA~d	PROTO-CUNEIFORM SIGN NA-D
NA₂~a	PROTO-CUNEIFORM SIGN NA2-A
NA₂~b1	PROTO-CUNEIFORM SIGN NA2-B1
NA₂~b2	PROTO-CUNEIFORM SIGN NA2-B2
NA₂~c	PROTO-CUNEIFORM SIGN NA2-C
NAB	PROTO-CUNEIFORM SIGN NAB
NAGA~a	PROTO-CUNEIFORM SIGN NAGA-A
|NAGA~a×TAK₄~a|	PROTO-CUNEIFORM SIGN NAGA-A TIMES TAK4-A
NAGA~b	PROTO-CUNEIFORM SIGN NAGA-B
NAGAR~a	PROTO-CUNEIFORM SIGN NAGAR-A
NAGAR~b	PROTO-CUNEIFORM SIGN NAGAR-B
NAM~a	PROTO-CUNEIFORM SIGN NAM-A
NAM~b	PROTO-CUNEIFORM SIGN NAM-B
NAM~c	PROTO-CUNEIFORM SIGN NAM-C
NAM~d	PROTO-CUNEIFORM SIGN NAM-D
NAM₂	PROTO-CUNEIFORM SIGN NAM2
|NAM₂×1(N01)|	PROTO-CUNEIFORM SIGN NAM2 TIMES ONE-N1
NAM₂@g	PROTO-CUNEIFORM SIGN NAM2 GUNU
NAM₂@t	PROTO-CUNEIFORM SIGN NAM2 TENU
NAMEŠDA	PROTO-CUNEIFORM SIGN NAMESHDA
NANNA~a	PROTO-CUNEIFORM SIGN NANNA-A
NANNA~b	PROTO-CUNEIFORM SIGN NANNA-B
NANŠE~a	PROTO-CUNEIFORM SIGN NANSHE-A
NANŠE~b	PROTO-CUNEIFORM SIGN NANSHE-B
NAR	PROTO-CUNEIFORM SIGN NAR
NE~a	PROTO-CUNEIFORM SIGN NE-A
NE~b	PROTO-CUNEIFORM SIGN NE-B
NE~c	PROTO-CUNEIFORM SIGN NE-C
NE~d	PROTO-CUNEIFORM SIGN NE-D
NERGAL~v	PROTO-CUNEIFORM SIGN NERGAL-V
NESAG₂~a	PROTO-CUNEIFORM SIGN NESAG2-A
NESAG₂~a2	PROTO-CUNEIFORM SIGN NESAG2-A2
NESAG₂~b	PROTO-CUNEIFORM SIGN NESAG2-B
NESAG₂~b@t	PROTO-CUNEIFORM SIGN NESAG2-B TENU
NI~a	PROTO-CUNEIFORM SIGN NI-A
|NI~a.RU|	PROTO-CUNEIFORM SIGN NI-A BESIDE RU
|NI~a×1(N57)|	PROTO-CUNEIFORM SIGN NI-A TIMES ONE-N57
NI~a@g	PROTO-CUNEIFORM SIGN NI-A GUNU
NI~b	PROTO-CUNEIFORM SIGN NI-B
|NI~b×X|	PROTO-CUNEIFORM SIGN NI-B TIMES X
|NI~b×4(N57)|	PROTO-CUNEIFORM SIGN NI-B TIMES FOUR-N57
|NI~b×8(N57)|	PROTO-CUNEIFORM SIGN NI-B TIMES EIGHT-N57
NI₂	PROTO-CUNEIFORM SIGN NI2
NIGIN	PROTO-CUNEIFORM SIGN NIGIN
NIM~a	PROTO-CUNEIFORM SIGN NIM-A
NIM~b1	PROTO-CUNEIFORM SIGN NIM-B1
NIM~b2	PROTO-CUNEIFORM SIGN NIM-B2
NIM~b3	PROTO-CUNEIFORM SIGN NIM-B3
NIM~d	PROTO-CUNEIFORM SIGN NIM-D
NIMGIR	PROTO-CUNEIFORM SIGN NIMGIR
NIN	PROTO-CUNEIFORM SIGN NIN
NINDA₂	PROTO-CUNEIFORM SIGN NINDA2
|NINDA₂×AN|	PROTO-CUNEIFORM SIGN NINDA2 TIMES AN
|NINDA₂×(AN.HI)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES AN PLUS HI
|NINDA₂×(AN.ME~a)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES AN PLUS ME-A
|NINDA₂×(AN.X)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES AN PLUS X
|NINDA₂×BA|	PROTO-CUNEIFORM SIGN NINDA2 TIMES BA
|NINDA₂×EZEN~b|	PROTO-CUNEIFORM SIGN NINDA2 TIMES EZEN-B
|NINDA₂×GAʾAR~a1|	PROTO-CUNEIFORM SIGN NINDA2 TIMES GAAR-A1
|NINDA₂×GAR|	PROTO-CUNEIFORM SIGN NINDA2 TIMES GAR
|NINDA₂×GIŠ|	PROTO-CUNEIFORM SIGN NINDA2 TIMES GISH
|NINDA₂×(GIŠ.DAR~a)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES GISH PLUS DAR-A
|NINDA₂×GU₄|	PROTO-CUNEIFORM SIGN NINDA2 TIMES GU4
|NINDA₂×GUDU₄|	PROTO-CUNEIFORM SIGN NINDA2 TIMES GUDU4
|NINDA₂×HI|	PROTO-CUNEIFORM SIGN NINDA2 TIMES HI
|NINDA₂×(HI.AN.ME~a)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES HI PLUS AN PLUS ME-A
|NINDA₂×(HI.ME~a)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES HI PLUS ME-A
|NINDA₂×(HI.X)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES HI PLUS X
|NINDA₂×KAŠ~b|	PROTO-CUNEIFORM SIGN NINDA2 TIMES KASH-B
|NINDA₂×MAR~a|	PROTO-CUNEIFORM SIGN NINDA2 TIMES MAR-A
|NINDA₂×MAR~b|	PROTO-CUNEIFORM SIGN NINDA2 TIMES MAR-B
|NINDA₂×NE~a|	PROTO-CUNEIFORM SIGN NINDA2 TIMES NE-A
|NINDA₂×NUN~a|	PROTO-CUNEIFORM SIGN NINDA2 TIMES NUN-A
|NINDA₂×ŠIM~a|	PROTO-CUNEIFORM SIGN NINDA2 TIMES SHIM-A
|NINDA₂×U₄|	PROTO-CUNEIFORM SIGN NINDA2 TIMES U4
|NINDA₂×(U₄.X)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES U4 PLUS X
|NINDA₂×(UDU~a×TAR~a)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES UDU-A TIMES TAR-A
|NINDA₂×(UDU~a×TAR~b)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES UDU-A TIMES TAR-B
|NINDA₂×X|	PROTO-CUNEIFORM SIGN NINDA2 TIMES X
|NINDA₂×(X.MAŠ)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES X PLUS MASH
|NINDA₂×(ZATU659×1(N01))|	PROTO-CUNEIFORM SIGN NINDA2 TIMES ZATU659 TIMES ONE-N1
|NINDA₂×ZATU710|	PROTO-CUNEIFORM SIGN NINDA2 TIMES ZATU710
|NINDA₂×1(N01)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES ONE-N1
|NINDA₂×2(N01)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES TWO-N1
|NINDA₂×1(N06)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES ONE-N6
|NINDA₂×(1(N06).HI@g~a)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES ONE-N6 PLUS HI GUNU-A
|NINDA₂×1(N08)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES ONE-N8
NINKUM	PROTO-CUNEIFORM SIGN NINKUM
NINLIL	PROTO-CUNEIFORM SIGN NINLIL
NIR~a	PROTO-CUNEIFORM SIGN NIR-A
|NIR~a×AN|	PROTO-CUNEIFORM SIGN NIR-A TIMES AN
NIR~b	PROTO-CUNEIFORM SIGN NIR-B
NU	PROTO-CUNEIFORM SIGN NU
NU@g	PROTO-CUNEIFORM SIGN NU GUNU
NU₁₁	PROTO-CUNEIFORM SIGN NU11
|NU₁₁&NU₁₁|	PROTO-CUNEIFORM SIGN NU11 OVER NU11
NU₁₁@t	PROTO-CUNEIFORM SIGN NU11 TENU
NUMUN	PROTO-CUNEIFORM SIGN NUMUN
NUMUN₂	PROTO-CUNEIFORM SIGN NUMUN2
NUN~a	PROTO-CUNEIFORM SIGN NUN-A
|NUN~a+A|	PROTO-CUNEIFORM SIGN NUN-A JOINING A
|NUN~a+EN~a|	PROTO-CUNEIFORM SIGN NUN-A JOINING EN-A
|NUN~a+EN~b|	PROTO-CUNEIFORM SIGN NUN-A JOINING EN-B
|NUN~a+EN~d|	PROTO-CUNEIFORM SIGN NUN-A JOINING EN-D
|NUN~a+NAM₂|	PROTO-CUNEIFORM SIGN NUN-A JOINING NAM2
NUN~b	PROTO-CUNEIFORM SIGN NUN-B
|NUN~b.U₄|	PROTO-CUNEIFORM SIGN NUN-B BESIDE U4
|NUN~b+EN~a|	PROTO-CUNEIFORM SIGN NUN-B JOINING EN-A
NUN~c	PROTO-CUNEIFORM SIGN NUN-C
NUN~d	PROTO-CUNEIFORM SIGN NUN-D
NUNUZ~a0	PROTO-CUNEIFORM SIGN NUNUZ-A0
NUNUZ~a1	PROTO-CUNEIFORM SIGN NUNUZ-A1
NUNUZ~a1@t	PROTO-CUNEIFORM SIGN NUNUZ-A1 TENU
NUNUZ~a2	PROTO-CUNEIFORM SIGN NUNUZ-A2
NUNUZ~b1	PROTO-CUNEIFORM SIGN NUNUZ-B1
NUNUZ~b2	PROTO-CUNEIFORM SIGN NUNUZ-B2
NUNUZ~c	PROTO-CUNEIFORM SIGN NUNUZ-C
PA~a	PROTO-CUNEIFORM SIGN PA-A
PA~b	PROTO-CUNEIFORM SIGN PA-B
PA₃	PROTO-CUNEIFORM SIGN PA3
PAD~a	PROTO-CUNEIFORM SIGN PAD-A
PAD~b	PROTO-CUNEIFORM SIGN PAD-B
PAP~a	PROTO-CUNEIFORM SIGN PAP-A
PAP~a@t	PROTO-CUNEIFORM SIGN PAP-A TENU
PAP~b	PROTO-CUNEIFORM SIGN PAP-B
PIRIG~a1	PROTO-CUNEIFORM SIGN PIRIG-A1
PIRIG~a2	PROTO-CUNEIFORM SIGN PIRIG-A2
PIRIG~a3	PROTO-CUNEIFORM SIGN PIRIG-A3
PIRIG~b1	PROTO-CUNEIFORM SIGN PIRIG-B1
|PIRIG~b1+DIN|	PROTO-CUNEIFORM SIGN PIRIG-B1 JOINING DIN
|PIRIG~b1×UR₂|	PROTO-CUNEIFORM SIGN PIRIG-B1 TIMES UR2
|PIRIG~b1×1(N58@t)|	PROTO-CUNEIFORM SIGN PIRIG-B1 TIMES ONE-N58 TENU
PIRIG~b2	PROTO-CUNEIFORM SIGN PIRIG-B2
PU₂	PROTO-CUNEIFORM SIGN PU2
RA	PROTO-CUNEIFORM SIGN RA
RAD~a	PROTO-CUNEIFORM SIGN RAD-A
RAD~a@g	PROTO-CUNEIFORM SIGN RAD-A GUNU
RAD~a@t	PROTO-CUNEIFORM SIGN RAD-A TENU
RAD~b	PROTO-CUNEIFORM SIGN RAD-B
RI	PROTO-CUNEIFORM SIGN RI
RI~x	PROTO-CUNEIFORM SIGN RI-X
RI₈~a	PROTO-CUNEIFORM SIGN RI8-A
RI₈~b	PROTO-CUNEIFORM SIGN RI8-B
RU	PROTO-CUNEIFORM SIGN RU
RU@t	PROTO-CUNEIFORM SIGN RU TENU
SA~a	PROTO-CUNEIFORM SIGN SA-A
SA~c	PROTO-CUNEIFORM SIGN SA-C
SAG	PROTO-CUNEIFORM SIGN SAG
|SAG+UKKIN~b×1(N57)|	PROTO-CUNEIFORM SIGN SAG JOINING UKKIN-B TIMES ONE-N57
|SAG×GEŠTU~a|	PROTO-CUNEIFORM SIGN SAG TIMES GESHTU-A
|SAG×GEŠTU~b|	PROTO-CUNEIFORM SIGN SAG TIMES GESHTU-B
|SAG×GEŠTU~c|	PROTO-CUNEIFORM SIGN SAG TIMES GESHTU-C
|SAG×LAM~c|	PROTO-CUNEIFORM SIGN SAG TIMES LAM-C
|SAG×MA|	PROTO-CUNEIFORM SIGN SAG TIMES MA
|SAG×NAM₂|	PROTO-CUNEIFORM SIGN SAG TIMES NAM2
|SAG×SAR~a|	PROTO-CUNEIFORM SIGN SAG TIMES SAR-A
|SAG×1(N14)|	PROTO-CUNEIFORM SIGN SAG TIMES ONE-N14
SAG@g	PROTO-CUNEIFORM SIGN SAG GUNU
SAG@n	PROTO-CUNEIFORM SIGN SAG NUTILLU
SAGŠU	PROTO-CUNEIFORM SIGN SAGSHU
SAL	PROTO-CUNEIFORM SIGN SAL
|SAL.KUR~a|	PROTO-CUNEIFORM SIGN SAL BESIDE KUR-A
|SAL.LAM~b|	PROTO-CUNEIFORM SIGN SAL BESIDE LAM-B
|SAL.ME~a|	PROTO-CUNEIFORM SIGN SAL BESIDE ME-A
|SAL.ŠU₂|	PROTO-CUNEIFORM SIGN SAL BESIDE SHU2
|SAL.ZATU751~a|	PROTO-CUNEIFORM SIGN SAL BESIDE ZATU751-A
|SAL.ZATU751~b|	PROTO-CUNEIFORM SIGN SAL BESIDE ZATU751-B
|SAL.ZATU751~c|	PROTO-CUNEIFORM SIGN SAL BESIDE ZATU751-C
|SAL×1(N58)|	PROTO-CUNEIFORM SIGN SAL TIMES ONE-N58
SANGA~a	PROTO-CUNEIFORM SIGN SANGA-A
SANGA~b	PROTO-CUNEIFORM SIGN SANGA-B
